GeneID	ExpectedReadCount	TPM
Gene00966	4	1.44
Gene00967	26	8.72
Gene00968	786	302.86
Gene00969	99	29.8
Gene00970	64	13.25
Gene00971	6	0.23
Gene00972	10	1.46
Gene00973	399	37.89
Gene00974	0	0
Gene00975	19	6.75
Gene00976	337	43.45
Gene00977	29	3.84
Gene00978	11	1.94
Gene00979	11	0.28
Gene00980	165	29.2
Gene00981	6	5.19
Gene00982	2	0.14
Gene00983	35	10.64
Gene00984	363	96.31
Gene00985	229	14.82
Gene00986	24	1.9
Gene00987	0	0
Gene00988	0	0
Gene00989	1614.96	3266.69
Gene00990	5	0.55
Gene00991	83	33.93
Gene00992	36	6.43
Gene00993	236	11.31
Gene00994	63	2.6
Gene00995	380	26.59
Gene00996	400	73.29
Gene00997	31	5.85
Gene00998	0	0
Gene00999	4	1.55
Gene01000	178	14.34
Gene01001	37	9.73
Gene01002	212	14.48
Gene01003	188	13
Gene01004	4.14	1.18
Gene01005	27.86	3.18
Gene01006	294	43.98
Gene01007	22.34	0.9
Gene01008	9	37.59
Gene01009	56	7.75
Gene01010	0	0
Gene01011	2	0.13
Gene01012	92	44.1
Gene01013	2	1.34
Gene01014	20	0.72
Gene01015	1	1.16
Gene01016	0	0
Gene01017	39	1.19
Gene01018	25	0.9
Gene01019	133	10.42
Gene01020	61	3.88
Gene01021	0	0
Gene01022	421	17
Gene01023	430	19.21
Gene01024	0	0
Gene01025	1	0.05
Gene01026	104.07	5.79
Gene01027	0	0
Gene01028	0	0
Gene01029	0	0
Gene01030	248	14.24
Gene01031	212	19.05
Gene01032	0	0
Gene01033	83	30.79
Gene01034	0	0
Gene01035	75.85	2.79
Gene01036	8.35	1.57
Gene01037	82	8.75
Gene01038	177	12.81
Gene01039	29	1.59
Gene01040	437	21.16
Gene01041	4	0.17
Gene01042	293	23.78
Gene01043	4	0.14
Gene01044	32	21.89
Gene01045	154	14.53
Gene01046	28	7.04
Gene01047	29	10.19
Gene01048	180	64.37
Gene01049	177	33.5
Gene01050	25	4.63
Gene01051	10	3.28
Gene01052	10	6.91
Gene01053	27	22.26
Gene01054	690	64.45
Gene01055	11	4.41
Gene01056	1	1.66
Gene01057	0	0
Gene01058	175	12.16
Gene01059	48	12.28
Gene01060	1	0.07
Gene01061	0	0
Gene01062	34	2.73
Gene01063	153	23.19
Gene01064	938	81.96
Gene01065	361	27.24
Gene01066	30	18.24
Gene01067	5	3.22
Gene01068	0	0
Gene01069	232	21.67
Gene01070	0	0
Gene01071	0	0
Gene01072	242	22.53
Gene01073	200	39.56
Gene01074	183.51	22.35
Gene01075	112.49	24.54
Gene01076	7	1.73
Gene01077	36	1.78
Gene01078	49	1.51
Gene01079	52	33.82
Gene01080	0.96	0.13
Gene01081	2.04	0.13
Gene01082	794	72.73
Gene01083	81	7.06
Gene01084	1	0.06
Gene01085	316	30.41
Gene01086	2493	79.09
Gene01087	834	125.42
Gene01088	1	0.06
Gene01089	27	3.8
Gene01090	280	14.42
Gene01091	0	0
Gene01092	772	28.94
Gene01093	1	0.08
Gene01094	20	10.38
Gene01095	0	0
Gene01096	0	0
Gene01097	0	0
Gene01098	0	0
Gene01099	234	19.55
Gene01100	0	0
Gene01101	6	2.02
