GeneID	ExpectedReadCount	TPM
Gene00973	354	39.57
Gene00974	0	0
Gene00975	12	5.01
Gene00976	298	45.18
Gene00977	22	3.43
Gene00978	10	2.07
Gene00979	8	0.24
Gene00980	136	28.27
Gene00981	9	9.46
Gene00982	0	0
Gene00983	22	7.85
Gene00984	316	98.37
Gene00985	198	15.1
Gene00986	20	1.86
Gene00987	0	0
Gene00988	0	0
Gene00989	1130	3058.91
Gene00990	11	1.43
Gene00991	72	34.66
Gene00992	43	9.02
Gene00993	194	10.96
Gene00994	53	2.58
Gene00995	356	29.35
Gene00996	342	73.58
Gene00997	30	6.65
Gene00998	3	0.14
Gene00999	1	0.46
Gene01000	133	12.62
Gene01001	37	11.41
Gene01002	123	9.9
Gene01003	158	12.87
Gene01004	3.31	1.11
Gene01005	16.69	2.24
Gene01006	245	43.07
Gene01007	35	1.67
Gene01008	7	44.91
Gene01009	45	7.32
Gene01010	0	0
Gene01011	2	0.16
Gene01012	62	35.11
Gene01013	5	4.01
Gene01014	20	0.85
Gene01015	2	2.9
Gene01016	3	17.19
Gene01017	36	1.29
Gene01018	12	0.51
Gene01019	109	10.06
Gene01020	47	3.52
Gene01021	0	0
Gene01022	303	14.43
Gene01023	320	16.85
Gene01024	0	0
Gene01025	1	0.06
Gene01026	91	5.97
Gene01027	0	0
Gene01028	0	0
Gene01029	0	0
Gene01030	207	14.01
Gene01031	161	17.03
Gene01032	0	0
Gene01033	81	35.33
Gene01034	0	0
Gene01035	58.71	2.55
Gene01036	6.36	1.4
Gene01037	56	7.03
Gene01038	144	12.28
Gene01039	26	1.68
Gene01040	370	21.12
Gene01041	5	0.25
Gene01042	293	28
Gene01043	25	1
Gene01044	22	18.03
Gene01045	150	16.66
Gene01046	16	4.72
Gene01047	17	7.02
Gene01048	189.81	79.78
Gene01049	152	33.78
Gene01050	31	6.73
Gene01051	9	3.47
Gene01052	17	14.08
Gene01053	15	14.98
Gene01054	582	63.99
Gene01055	9	4.24
Gene01056	0	0
Gene01057	0	0
Gene01058	168	13.75
Gene01059	45	13.51
Gene01060	3	0.25
Gene01061	0	0
Gene01062	14	1.32
Gene01063	100	17.81
Gene01064	727	74.8
Gene01065	263	23.37
Gene01066	30	21.73
Gene01067	1	0.77
Gene01068	0	0
Gene01069	132	14.51
Gene01070	0	0
Gene01071	0	0
Gene01072	211	23.12
Gene01073	158	36.69
Gene01074	168.53	24.14
Gene01075	96.47	24.7
Gene01076	11	3.19
Gene01077	33	1.93
Gene01078	49	1.78
Gene01079	27	20.98
Gene01080	0	0
Gene01081	2	0.15
Gene01082	569	61.36
Gene01083	85	8.72
Gene01084	0	0
Gene01085	272	30.81
Gene01086	1987	74.35
Gene01087	593	104.8
Gene01088	0	0
Gene01089	19	3.14
Gene01090	257	15.6
Gene01091	0	0
Gene01092	574	25.38
Gene01093	0	0
Gene01094	14	8.61
Gene01095	0	0
Gene01096	0	0
Gene01097	1.32	0.45
Gene01098	0.68	0.92
Gene01099	197	19.38
Gene01100	0	0
Gene01101	10	3.96
Gene01102	0	0
Gene01103	160.61	25.93
Gene01104	0	0
Gene01105	148	17.11
Gene01106	0	0
Gene01107	9	0.36
Gene01108	236	47.3
Gene01109	189	24.32
Gene01110	0	0
Gene01111	402	32.7
Gene01112	75	9.73
Gene01113	25	6.84
Gene01114	85	24.86
Gene01115	53	2.77
Gene01116	212.41	20.89
Gene01117	0	0
Gene01118	90	7.89
Gene01119	255	14.93
Gene01120	348	16.97
Gene01121	6	0.86
Gene01122	2	0.49
Gene01123	565	19.4
Gene01124	122	21.73
Gene01125	337	17.73
Gene01126	0	0
Gene01127	84	6.99
Gene01128	117	5.99
Gene01129	0	0
Gene01130	152	67.57
Gene01131	0	0
Gene01132	0	0
Gene01133	0	0
Gene01134	3	3.2
Gene01135	16	5.03
Gene01136	0	0
Gene01137	2	0.1
Gene01138	37	15.55
Gene01139	201	39.69
Gene01140	823	505.97
Gene01141	142	6.99
Gene01142	960	42.98
Gene01143	783	177.53
Gene01144	30	39.58
Gene01145	0	0
Gene01146	13	1.31
Gene01147	234	16.46
Gene01148	702	49.14
Gene01149	18	3.62
Gene01150	287	33.71
Gene01151	39	8.5
Gene01152	0	0
Gene01153	0	0
Gene01154	894	58.84
Gene01155	28	4.08
Gene01156	45	22.75
Gene01157	149	8.71
Gene01158	1029	77.69
Gene01159	233	9.21
Gene01160	77	7.74
Gene01161	0	0
Gene01162	0	0
Gene01163	0	0
Gene01164	0	0
Gene01165	50	9.9
Gene01166	6	1.43
Gene01167	171	12.91
Gene01168	64	3.48
Gene01169	190	13.05
Gene01170	92	10.07
Gene01171	16	2.23
Gene01172	0	0
Gene01173	16	1.49
Gene01174	7	9.24
Gene01175	154	39.12
Gene01176	0	0
Gene01177	24	9.24
Gene01178	188	32.29
Gene01179	135	7.33
Gene01180	0	0
Gene01181	0	0
Gene01182	291	21.77
Gene01183	1	0.26
Gene01184	39	8.93
Gene01185	0	0
Gene01186	113	10.94
Gene01187	48	7.57
Gene01188	94	17.73
Gene01189	347	13.04
Gene01190	58	21.03
Gene01191	307	32.69
Gene01192	1805	131.4
Gene01193	341	55.86
Gene01194	30	1.59
Gene01195	78	16.83
Gene01196	14	1.8
