GeneID	ExpectedReadCount	TPM
Gene00958	913	33.15
Gene00959	87	10.45
Gene00960	5	7.26
Gene00961	446	22.69
Gene00962	479	19.93
Gene00963	39	3.21
Gene00964	2	0.06
Gene00965	0	0
Gene00966	1	0.31
Gene00967	16	4.68
Gene00968	1080	361.99
Gene00969	93	24.45
Gene00970	68	12.4
Gene00971	5	0.17
Gene00972	14	1.81
Gene00973	388	32.86
Gene00974	0	0
Gene00975	9	2.79
Gene00976	231	26.45
Gene00977	25	2.94
Gene00978	17	2.65
Gene00979	15	0.34
Gene00980	142	22.19
Gene00981	8	6.06
Gene00982	0	0
Gene00983	37	9.83
Gene00984	340	79
Gene00985	275	15.93
Gene00986	21	1.48
Gene00987	0	0
Gene00988	0	0
Gene00989	1769	3338.5
Gene00990	10	0.99
Gene00991	94	33.41
Gene00992	29	4.57
Gene00993	215	9.25
Gene00994	39	1.45
Gene00995	541	33.87
Gene00996	428	69.21
Gene00997	42	6.99
Gene00998	0	0
Gene00999	3	1.01
Gene01000	208	14.97
Gene01001	42	9.67
Gene01002	131	8.01
Gene01003	207	12.8
Gene01004	4.96	1.24
Gene01005	24.04	2.44
Gene01006	298	39.49
Gene01007	53	1.93
Gene01008	10	43.32
Gene01009	34	4.17
Gene01010	0	0
Gene01011	0	0
Gene01012	59	24.55
Gene01013	1	0.58
Gene01014	26	0.85
Gene01015	3	3.1
Gene01016	0	0
Gene01017	35	0.96
Gene01018	21	0.68
Gene01019	128	8.96
Gene01020	40	2.28
Gene01021	0	0
Gene01022	415	15.05
Gene01023	396	15.87
Gene01024	0	0
Gene01025	0	0
Gene01026	98.06	4.89
Gene01027	0	0
Gene01028	0	0
Gene01029	0	0
Gene01030	184	9.47
Gene01031	185	14.84
Gene01032	1	34.86
Gene01033	77	24.86
Gene01034	0	0
Gene01035	106.62	3.52
Gene01036	8.27	1.37
Gene01037	97	9.22
Gene01038	166	10.75
Gene01039	43	2.12
Gene01040	398	17.29
Gene01041	4	0.15
Gene01042	349	25.3
Gene01043	23	0.7
Gene01044	19	11.31
Gene01045	141	11.86
Gene01046	30	6.61
Gene01047	23	7.04
Gene01048	244.18	76.05
Gene01049	172	28.71
Gene01050	22	3.59
Gene01051	9	2.57
Gene01052	15	9.02
Gene01053	21	15.14
Gene01054	821	68.4
Gene01055	12	4.18
Gene01056	2	3.03
Gene01057	0	0
Gene01058	138	8.58
Gene01059	66	14.8
Gene01060	1	0.06
Gene01061	0	0
Gene01062	42	3.01
Gene01063	84	11.28
Gene01064	704	54.91
Gene01065	316	21.31
Gene01066	22	11.62
Gene01067	10	5.6
Gene01068	0	0
Gene01069	178	14.83
Gene01070	0	0
Gene01071	0	0
Gene01072	223	18.52
Gene01073	161	28.06
Gene01074	183	19.81
Gene01075	119	22.83
Gene01076	5	1.08
Gene01077	22	0.98
Gene01078	58	1.61
Gene01079	57	32.23
Gene01080	0	0
Gene01081	1	0.06
Gene01082	703	57.45
Gene01083	93	7.23
Gene01084	4	0.2
Gene01085	289	24.8
Gene01086	2166	61.76
Gene01087	843	112.3
Gene01088	0	0
Gene01089	19	2.37
Gene01090	354	16.34
Gene01091	0	0
Gene01092	694	23.37
Gene01093	0	0
Gene01094	21	9.46
Gene01095	0	0
Gene01096	0	0
Gene01097	0	0
Gene01098	0	0
Gene01099	200	14.92
Gene01100	1	0.06
Gene01101	4	1.18
Gene01102	0	0
Gene01103	246.28	30.01
Gene01104	0	0
Gene01105	246	21.54
Gene01106	0	0
Gene01107	38	1.16
Gene01108	321	48.4
Gene01109	218	21.23
Gene01110	0	0
Gene01111	397	24.52
Gene01112	208	20.41
Gene01113	23	4.71
Gene01114	83	18.14
Gene01115	79	3.14
Gene01116	183.93	13.72
Gene01117	0	0
Gene01118	131	8.72
Gene01119	199	8.86
Gene01120	333	12.36
Gene01121	10	1.08
Gene01122	5	0.92
Gene01123	721	18.87
Gene01124	144	19.33
