GeneID	ExpectedReadCount	TPM
Gene00716	1053	107.23
Gene00717	0	0
Gene00718	14	1.92
Gene00719	0	0
Gene00720	5	1.59
Gene00721	94	15.44
Gene00722	32	29
Gene00723	1	0.21
Gene00724	26	5.26
Gene00725	78	26.7
Gene00726	17.35	3.13
Gene00727	0	0
Gene00728	0	0
Gene00729	754	75.99
Gene00730	0	0
Gene00731	544.25	34.85
Gene00732	63	5.6
Gene00733	12	3.89
Gene00734	436	36.89
Gene00735	107	4.41
Gene00736	0	0
Gene00737	262	41.73
Gene00738	66	11.49
Gene00739	32	11.24
Gene00740	118	26.25
Gene00741	22	159.37
Gene00742	0	0
Gene00743	0	0
Gene00744	83	12.07
Gene00745	0	0
Gene00746	548	22.39
Gene00747	2176	80.95
Gene00748	695	1225.19
Gene00749	0	0
Gene00750	57	7.62
Gene00751	100	10.55
Gene00752	62	11.17
Gene00753	39	4.26
Gene00754	127	5.53
Gene00755	102	48.39
Gene00756	84	10.08
Gene00757	376.46	19.03
Gene00758	16	1.52
Gene00759	108	63.4
Gene00760	0	0
Gene00761	10	19.56
Gene00762	7	3.84
Gene00763	14	2.74
Gene00764	0	0
Gene00765	0	0
Gene00766	0	0
Gene00767	0	0
Gene00768	135.71	10.39
Gene00769	2	0.15
Gene00770	0	0
Gene00771	257	37.3
Gene00772	0	0
Gene00773	85	20.47
Gene00774	1.8	0.64
Gene00775	0	0
Gene00776	0	0
Gene00777	0	0
Gene00778	677	37.09
Gene00779	116	10.92
Gene00780	427.85	57.92
Gene00781	39	24.64
Gene00782	240	12.05
Gene00783	426	47.04
Gene00784	3	5.97
Gene00785	19	4.81
Gene00786	13	13.56
Gene00787	372	40.57
Gene00788	93	16.16
Gene00789	191	23.62
Gene00790	9	2.84
Gene00791	0	0
Gene00792	296	26.2
Gene00793	0	0
Gene00794	45	19.51
Gene00795	39	23.39
Gene00796	0	0
Gene00797	46	14.04
Gene00798	44	1.34
Gene00799	0	0
Gene00800	3027	379.68
Gene00801	3	0.69
Gene00802	981	100.03
Gene00803	310	102.56
Gene00804	121	11.32
Gene00805	115	14.36
Gene00806	17	1.77
Gene00807	17	4.91
Gene00808	354	19.07
Gene00809	0	0
Gene00810	53	6.65
Gene00811	44	8.64
Gene00812	348	200.02
Gene00813	0	0
Gene00814	0	0
Gene00815	0	0
Gene00816	10	4.31
Gene00817	0	0
Gene00818	15	1
Gene00819	4	1.1
Gene00820	10	2.16
Gene00821	12	0.7
Gene00822	57.73	11.56
Gene00823	3.27	2.24
Gene00824	2	0.17
Gene00825	4	0.47
Gene00826	39	13.83
Gene00827	187	62.13
Gene00828	2	0.16
Gene00829	33	10.69
Gene00830	0	0
Gene00831	120	16.02
Gene00832	4	3.35
Gene00833	16	11.59
Gene00834	7	2.95
Gene00835	2	2.16
Gene00836	338	40.46
Gene00837	2	0.26
Gene00838	7	1.08
Gene00839	1	74.52
Gene00840	1878	85.76
Gene00841	7	1.22
Gene00842	1239	33.15
Gene00843	0	0
Gene00844	0	0
Gene00845	52	12.19
Gene00846	87	14.76
Gene00847	84	9.49
Gene00848	253	11.9
Gene00849	2	0.18
Gene00850	0	0
Gene00851	97	20.93
Gene00852	20	1.57
Gene00853	453.75	126.3
Gene00854	767.25	231.55
Gene00855	3270.18	254.44
Gene00856	537.82	81.37
Gene00857	47	16.23
Gene00858	2	6.96
Gene00859	2	11.01
Gene00860	3	6.2
Gene00861	192	17.9
Gene00862	0	0
Gene00863	301	27.48
Gene00864	134	16.57
Gene00865	161	21
Gene00866	828.5	120.03
